,whole_nonlin,,whole_lin,,,,whole_lin_fresh,,,,whole_lin_fresh_can,,
,mean,sd,mean,sd,,,,mean,sd,,,mean,sd
beta[1],4.88,9.43,4.93,9.38,,,beta[1],-8.15,9.54,,beta[1],-0.04,10.1
beta[2],-3.36,1.83,-3.3,1.81,,,beta[2],-1.13,0.53,,beta[2],1.11,9.6
beta[3],-0.72,0.68,-0.73,0.67,,,beta[3],1.05,0.88,,beta[3],0.18,1.74
beta[4],0.14,0.89,0.13,0.89,,,beta[4],2.2,0.69,,beta[4],-0.31,1.34
beta[5],-1.02,0.98,-1,0.98,,,beta[5],-3.55,0.69,,beta[5],-1.26,7.72
beta[6],1.67,0.93,1.69,0.9,,,beta[6],1.55,0.68,,beta[6],1.22,8.68
beta[7],-0.2,0.89,-0.19,0.88,,,beta[7],-0.4,0.82,,beta[7],0,10.02
beta[8],3.16,0.8,3.15,0.78,,,beta[8],1.04,0.66,,beta[8],-1.19,8.59
beta[9],0.6,0.94,0.59,0.92,,,beta[9],-1.08,0.91,,beta[9],0.1,8.45
beta[10],0.79,0.91,0.76,0.9,,,beta[10],3.05,0.79,,beta[10],0.09,8.59
beta[11],-2.45,1.26,-2.41,1.23,,,beta[11],-1.5,1.15,,beta[11],0.11,1.63
beta[12],0.99,0.87,0.95,0.86,,,beta[12],-0.16,0.76,,beta[12],-0.07,8.53
beta[13],0.18,1.15,0.27,1.14,,,beta[13],-0.41,0.72,,beta[13],-1.19,8.52
beta[14],-1.67,0.85,-1.63,0.84,,,beta[14],-1.45,1,,gamma,0,0
beta[15],-1.73,1.03,-1.73,1.04,,,gamma,0,0,,sigma,1.16,0.24
beta[16],-1.28,1.47,-1.3,1.43,,,sigma,1.12,0.16,,,,
gamma,0,0,0,0,,,,,,,,,
sigma,1.83,0.21,1.82,0.2,,,,,,,,,